measurement_id,method,wskaznik,est_x,est_y,cost,distance,true_x,true_y
1,Zwykla,minimum funkcji celu,-0.6060606060606055,-3.6969696969696964,34.75151900581188,4.400521715459171,1.0,0.4
1,Zwykla,Pozycja średnia,-0.7857514332545986,-3.4698151730155176,34.649274770381616,4.2619687533664505,1.0,0.4
1,Dzielona przez odległość od rssi,minimum funkcji celu,-0.20202020202020066,-0.020202020202019,0.31717262318964523,1.273350817271714,1.0,0.4
1,Dzielona przez odległość od rssi,Pozycja średnia,0.01063931717651497,-0.3692351934907151,0.20678432313179043,1.2532187931968026,1.0,0.4
1,Zwykla z wagami,minimum funkcji celu,-0.20202020202020066,-0.545454545454545,0.3954162206389736,1.529292929292928,1.0,0.4
1,Zwykla z wagami,Pozycja średnia,0.0866317021739671,-0.7223554190598306,0.3905299382491458,1.4470395067746396,1.0,0.4
1,Dzielona przez odległość od rssi z wagami,minimum funkcji celu,0.20202020202020066,-0.020202020202019,0.014106324515927384,0.901854475935968,1.0,0.4
1,Dzielona przez odległość od rssi z wagami,Pozycja średnia,0.36367256924941216,-0.043423736512243453,0.002356309028049175,0.7755882987952588,1.0,0.4

2,Zwykla,minimum funkcji celu,-0.6060606060606055,-6.323232323232323,283.34790126137443,8.183586104043485,2.1,1.4
2,Zwykla,Pozycja średnia,-0.4237537817463571,-6.525731369058601,283.22100649831435,8.317845327087934,2.1,1.4
2,Dzielona przez odległość od rssi,minimum funkcji celu,0.20202020202020066,-0.020202020202019,3.1375615321550088,2.370506505311752,2.1,1.4
2,Dzielona przez odległość od rssi,Pozycja średnia,0.0594416234574549,0.1045474123994747,2.6698257585441905,2.4170386622474296,2.1,1.4
2,Zwykla z wagami,minimum funkcji celu,1.0101010101010104,0.5050505050505052,0.644593875246294,1.4102533129523909,2.1,1.4
2,Zwykla z wagami,Pozycja średnia,0.8419681505857507,0.7478184807678959,0.6348258820078172,1.4170338274609158,2.1,1.4
2,Dzielona przez odległość od rssi z wagami,minimum funkcji celu,0.20202020202020066,-0.020202020202019,0.2885333629889303,2.370506505311752,2.1,1.4
2,Dzielona przez odległość od rssi z wagami,Pozycja średnia,0.057339030040072424,0.10413403516495526,0.230948046090791,2.4190354352542034,2.1,1.4

3,Zwykla,minimum funkcji celu,0.20202020202020066,-6.323232323232323,329.226097502766,9.122850563717327,2.1,2.6
3,Zwykla,Pozycja średnia,0.38498589082749046,-6.3841294159151305,329.20144175496927,9.146357458385953,2.1,2.6
3,Dzielona przez odległość od rssi,minimum funkcji celu,0.20202020202020066,2.0808080808080813,0.8220292922273323,1.9677112497756444,2.1,2.6
3,Dzielona przez odległość od rssi,Pozycja średnia,0.31454670773326976,2.035873402799179,0.8210876332820979,1.872453544560047,2.1,2.6
3,Zwykla z wagami,minimum funkcji celu,-0.20202020202020066,2.6060606060606073,1.09215532606352,2.3020281799871496,2.1,2.6
3,Zwykla z wagami,Pozycja średnia,-0.24332681283306154,2.542570719971393,1.0915996211808148,2.3440304336648357,2.1,2.6
3,Dzielona przez odległość od rssi z wagami,minimum funkcji celu,0.20202020202020066,2.0808080808080813,0.01770051289491109,1.9677112497756444,2.1,2.6
3,Dzielona przez odległość od rssi z wagami,Pozycja średnia,0.3131545489787823,2.2130851128810543,0.017204290899065368,1.8282559437096015,2.1,2.6

4,Zwykla,minimum funkcji celu,0.20202020202020066,-1.0707070707070692,110.14378770335125,6.843861330747322,1.2,5.7
4,Zwykla,Pozycja średnia,0.4708009698203428,-1.1694096930130142,110.10668801801475,6.908004107995023,1.2,5.7
4,Dzielona przez odległość od rssi,minimum funkcji celu,-0.6060606060606055,3.1313131313131333,1.1015489071222109,3.1400648308798247,1.2,5.7
4,Dzielona przez odległość od rssi,Pozycja średnia,-0.5594254961701212,3.2490389574511096,1.0983495330150286,3.017082714919467,1.2,5.7
4,Zwykla z wagami,minimum funkcji celu,-1.0101010101010104,3.1313131313131333,0.40656881397310685,3.3886130944995547,1.2,5.7
4,Zwykla z wagami,Pozycja średnia,-1.1126983712891207,3.2397755308402436,0.40589855146193765,3.3765778822967722,1.2,5.7
4,Dzielona przez odległość od rssi z wagami,minimum funkcji celu,-0.20202020202020066,3.6565656565656575,0.030878859249041872,2.4781615287950274,1.2,5.7
4,Dzielona przez odległość od rssi z wagami,Pozycja średnia,-0.36517187728410594,3.4199751073526468,0.030295587914264385,2.7655517562563583,1.2,5.7

5,Zwykla,minimum funkcji celu,-7.070707070707071,5.232323232323234,113.54261450298549,9.991743249808046,2.3,8.7
5,Zwykla,Pozycja średnia,-7.091146121986074,5.1261345574590385,113.51565192293427,10.048190866314323,2.3,8.7
5,Dzielona przez odległość od rssi,minimum funkcji celu,-0.20202020202020066,8.383838383838384,1.0882607642306301,2.5219165844355618,2.3,8.7
5,Dzielona przez odległość od rssi,Pozycja średnia,-0.3617967389043194,8.380250875849997,1.0566552986932913,2.6809329312081576,2.3,8.7
5,Zwykla z wagami,minimum funkcji celu,-3.8383838383838373,8.383838383838384,0.7045555507394297,6.146520504713688,2.3,8.7
5,Zwykla z wagami,Pozycja średnia,-3.965044639733074,8.281883888216873,0.7035466999168536,6.278981240677563,2.3,8.7
5,Dzielona przez odległość od rssi z wagami,minimum funkcji celu,-0.20202020202020066,8.383838383838384,0.01031287860704346,2.5219165844355618,2.3,8.7
5,Dzielona przez odległość od rssi z wagami,Pozycja średnia,-0.31237366760635626,8.472906281462553,0.009748553402949865,2.6222257218253064,2.3,8.7

